ME_NUMCDE;ME_LIVREA;ME_CPROIN;ME_NQTUVC;AR_VOLSPCB;TRUNC(ME_DATEXP)
PO0017KOH0;F189;768750;24;0.3;02.19.2019
PO0017KOH0;F189;716092;28;0.4;02.19.2019
PO0017KOH0;F189;594564;24;0.3;02.19.2019
PO0017KOH0;F189;640047;24;0.2;02.19.2019
PO0017KOH0;F189;640050;24;0.3;02.19.2019
PO0017KOH0;F189;557513;24;0.3;02.19.2019
PO0017KOH0;F189;556221;20;0.3;02.19.2019
PO0017KOH0;F189;556220;60;0.3;02.19.2019
PO0017KOH0;F189;539743;40;0.3;02.19.2019
PO0017KOH0;F189;539741;40;0.3;02.19.2019
PO0017KOH0;F189;192862;20;0.3;02.19.2019
PO0017KOH0;F189;539746;20;0.3;02.19.2019
PO0017KOH0;F189;556222;60;0.3;02.19.2019
PO0017KOH0;F189;556223;40;0.3;02.19.2019
PO0017KOH0;F189;539744;60;0.3;02.19.2019
PO0017KOH0;F189;561076;20;0.3;02.19.2019
PO0017KOH0;F189;557520;24;0.3;02.19.2019
PO0017KOH0;F189;712551;12;0.3;02.19.2019
PO0017KOH0;F189;640048;24;0.3;02.19.2019
PO0017KOH0;F189;712549;12;0.3;02.19.2019
PO0017KOH0;F189;593183;24;0.3;02.19.2019
PO0017KOH0;F189;660563;20;0.3;02.19.2019
PO0017KOH0;F189;605171;20;0.3;02.19.2019
PO0017KOH0;F189;712554;12;0.3;02.19.2019
PO0017KOH0;F189;712556;12;0.3;02.19.2019
PO0017KOH0;F189;712550;12;0.3;02.19.2019
PO0017KOH0;F189;486807;6;2.1;02.19.2019
PO0017KOH0;F189;486805;6;2.1;02.19.2019
PO0017KOH0;F189;692621;12;2.3;02.19.2019
PO0017KOH0;F189;35312;12;2.3;02.19.2019
PO0017KOH0;F189;569227;6;2.1;02.19.2019
PO0017KOH0;F189;600295;12;2.7;02.19.2019
PO0017KOH0;F189;742019;6;1.7;02.19.2019
PO0017KOH0;F189;576431;6;2.7;02.19.2019
PO0017KOH0;F189;244125;2;8.1;02.19.2019
PO0017KOH0;F189;12140;12;2.3;02.19.2019
PO0017KOH0;F189;361767;6;1.9;02.19.2019
PO0017KOH0;F189;361769;6;1.9;02.19.2019
PO0017KOH0;F189;376843;12;0.8;02.19.2019
PO0017KOH0;F189;233272;6;1.9;02.19.2019
PO0017KOH0;F189;750875;12;2.3;02.19.2019
PO0017KOH0;F189;514745;12;1.8;02.19.2019
PO0017KOH0;F189;14047;36;1.9;02.19.2019
PO0017KOH0;F189;692607;12;2.3;02.19.2019
PO0017KOH0;F189;14053;12;1.9;02.19.2019
PO0017KOH0;F189;386913;6;0.7;02.19.2019
PO0017KOH0;F189;479931;12;1.2;02.19.2019
PO0017KOH0;F189;668;12;1.1;02.19.2019
PO0017KOH0;F189;332537;12;1.2;02.19.2019
PO0017KOH0;F189;665;24;1.1;02.19.2019
PO0017KOH0;F189;742014;24;1.0;02.19.2019
PO0017KOH0;F189;131252;24;0.8;02.19.2019
PO0017KOH0;F189;20872;18;2.8;02.19.2019
PO0017KOH0;F189;467861;12;1.1;02.19.2019
PO0017KOH0;F189;707665;12;1.0;02.19.2019
PO0017KOH0;F189;514601;24;1.1;02.19.2019
PO0017KOH0;F189;39002;12;1.1;02.19.2019
PO0017KOH0;F189;707667;12;1.0;02.19.2019
PO0017KOH0;F189;470684;40;1.3;02.19.2019
PO0017KOH0;F189;770513;12;0.7;02.19.2019
PO0017KOH0;F189;50118;12;0.5;02.19.2019
PO0017KOH0;F189;756080;12;1.2;02.19.2019
PO0017KOH0;F189;63852;24;0.9;02.19.2019
PO0017KOH0;F189;622472;24;0.5;02.19.2019
PO0017KOH0;F189;490859;20;1.3;02.19.2019
PO0017KOH0;F189;689251;40;1.3;02.19.2019
PO0017KOH0;F189;365562;20;1.4;02.19.2019
PO0017KOH0;F189;534517;20;1.6;02.19.2019
PO0017KOH0;F189;34915;12;3.3;02.19.2019
PO0017KOH0;F189;365569;20;1.4;02.19.2019
PO0017KOH0;F189;689250;20;1.2;02.19.2019
PO0017KOH0;F189;321449;20;1.8;02.19.2019
PO0017KOH0;F189;638313;20;1.0;02.19.2019
PO0017KOH0;F189;45037;20;0.9;02.19.2019
PO0017KOH0;F189;668238;20;1.2;02.19.2019
PO0017KOH0;F189;757520;15;1.7;02.19.2019
PO0017KOH0;F189;36049;8;4.0;02.19.2019
PO0017KOH0;F189;304038;9;1.9;02.19.2019
PO0017KOH0;F189;758193;15;1.7;02.19.2019
PO0017KOH0;F189;609411;30;1.7;02.19.2019
PO0017KOH0;F189;754461;15;1.7;02.19.2019
PO0017KOH0;F189;699145;15;1.7;02.19.2019
PO0017KOH0;F189;729905;30;1.7;02.19.2019
PO0017KOH0;F189;428254;2;6.1;02.19.2019
PO0017KOH0;F189;428252;2;6.1;02.19.2019
PO0017KOH0;F189;580542;8;2.2;02.19.2019
PO0017KOH0;F189;580548;8;2.2;02.19.2019
PO0017KOH0;F189;744915;12;1.5;02.19.2019
PO0017KOH0;F189;691545;10;1.2;02.19.2019
PO0017KOH0;F189;58910;12;1.3;02.19.2019
PO0017KOH0;F189;445428;12;1.3;02.19.2019
PO0017KOH0;F189;498749;6;2.3;02.19.2019
PO0017KOH0;F189;498748;6;2.3;02.19.2019
PO0017KOH0;F189;498754;6;2.3;02.19.2019
PO0017KOH0;F189;691547;10;1.2;02.19.2019
PO0017KOH0;F189;760339;12;1.3;02.19.2019
PO0017KOH0;F189;580557;6;2.4;02.19.2019
PO0017KOH0;F189;576298;24;1.3;02.19.2019
PO0017KOH0;F189;408523;12;1.5;02.19.2019
PO0017KOH0;F189;580563;6;2.4;02.19.2019
PO0017KOH0;F189;698305;12;1.5;02.19.2019
PO0017KOH0;F189;748420;12;1.5;02.19.2019
PO0017KOH0;F189;760345;12;1.3;02.19.2019
PO0017KOH0;F189;719476;20;1.5;02.19.2019
PO0017KOH0;F189;719480;10;1.5;02.19.2019
PO0017KOH0;F189;593292;12;1.1;02.19.2019
PO0017KOH0;F189;719486;10;1.5;02.19.2019
PO0017KOH0;F189;719492;10;1.5;02.19.2019
PO0017KOH0;F189;498758;12;1.0;02.19.2019
PO0017KOH0;F189;491409;12;1.5;02.19.2019
PO0017KOH0;F189;498766;12;1.6;02.19.2019
PO0017KOH0;F189;662576;12;1.5;02.19.2019
PO0017KOH0;F189;498759;12;1.0;02.19.2019
PO0017KOH0;F189;498762;12;1.3;02.19.2019
PO0017KOH0;F189;498763;12;1.0;02.19.2019
PO0017KOH0;F189;322383;15;0.6;02.19.2019
PO0017KOH0;F189;322422;15;0.8;02.19.2019
PO0017KOH0;F189;691544;15;0.8;02.19.2019
PO0017KOH0;F189;576017;15;0.4;02.19.2019
PO0017KOH0;F189;432549;18;0.4;02.19.2019
PO0017KOH0;F189;669256;12;1.7;02.19.2019
PO0017KOH0;F189;662578;27;0.4;02.19.2019
PO0017KOH0;F189;610721;22;0.3;02.19.2019
PO0017KOH0;F189;70247;27;0.2;02.19.2019
